make,model,year,mileage_km,engine_cc,auction_grade,winning_bid_jpy,auction_date
Mazda,RX-7,2016,101607,2500,3.1,664948,2025-09-19
Subaru,WRX STI,2021,45269,2000,3.6,1264080,2024-03-22
Mitsubishi,Pajero,2021,40063,1500,4.3,1398312,2024-03-23
Mazda,CX-5,2022,14563,1500,4.4,1127944,2024-03-30
Lexus,LX 600,2023,12676,3500,5.2,9252444,2025-04-14
Lexus,LX 570,2018,77289,4500,3.5,2105763,2024-10-14
Toyota,Land Cruiser 200,2018,75395,3500,3.6,1210587,2025-07-23
Honda,NSX,2023,5114,3800,4.2,2832261,2023-12-02
Honda,CR-V,2023,12925,2000,5.4,2449581,2025-09-03
Honda,CR-V,2022,20695,2000,5.2,1397806,2024-03-06
Lexus,NX,2023,12102,2000,4.7,6532077,2024-02-10
Subaru,WRX STI,2016,96200,2500,3.8,857909,2024-06-26
Porsche,Cayenne,2021,21491,3000,4.9,4414404,2024-07-28
Nissan,GT-R R35,2021,35725,3500,4.1,5888645,2025-05-17
Nissan,GT-R R35,2023,8209,3000,5.3,4010466,2024-03-24
Honda,NSX,2018,72144,3800,2.8,949559,2024-02-21
Toyota,Land Cruiser 300,2024,3345,3500,5.2,9192480,2023-10-24
Toyota,Land Cruiser,2021,27411,5700,5.1,3261523,2024-02-04
Mazda,CX-5,2023,11838,1500,5.0,802709,2023-10-13
Mazda,CX-5,2022,18316,2500,4.8,2064932,2024-10-18
Subaru,Forester,2019,54254,2000,3.9,500000,2024-08-03
Mitsubishi,Outlander,2023,13749,2500,4.9,1679225,2023-12-12
Mitsubishi,Pajero,2020,36688,2500,3.6,1142789,2024-04-24
Nissan,Patrol,2022,20570,4500,5.1,1318081,2024-01-24
Subaru,Forester,2023,8644,2000,4.8,2556801,2024-09-12
Lexus,NX,2024,1000,2000,5.3,7844334,2023-10-17
Porsche,Macan,2020,58811,1500,3.8,2874987,2024-08-17
Toyota,Land Cruiser,2019,76115,4500,3.2,1834385,2025-08-29
Porsche,911 Carrera,2020,57574,3000,3.8,4692486,2025-07-14
Honda,NSX,2017,101972,3800,2.5,500000,2024-07-03
Porsche,Cayenne,2017,94098,2000,3.1,1719898,2023-12-01
Mazda,CX-5,2021,33692,2500,4.1,864578,2024-02-14
Mazda,RX-7,2019,59102,2000,4.4,1413394,2024-09-06
Honda,NSX,2024,1000,3000,4.4,3211589,2024-02-17
Lexus,GX 460,2015,78575,2000,3.8,1452648,2025-04-26
Honda,NSX,2022,31314,3500,3.9,1602374,2023-11-13
Toyota,Land Cruiser 300,2024,1000,3500,4.3,7162805,2024-09-14
Porsche,Macan,2022,21819,2000,5.2,8187266,2024-08-14
Honda,NSX,2024,3084,3500,4.9,2799380,2025-03-25
Mazda,CX-9,2024,1000,2000,4.1,668382,2025-04-04
Nissan,Patrol,2024,3453,3500,4.9,2087218,2025-03-28
Mitsubishi,Pajero,2019,41335,2500,3.7,578487,2025-09-24
Honda,CR-V,2019,49390,2500,3.6,500000,2025-05-20
Mazda,RX-7,2021,46738,2500,4.2,1893448,2024-06-04
Mazda,RX-7,2022,18497,2500,4.6,1958297,2025-02-20
Mazda,CX-9,2021,27183,1500,5.5,850638,2024-07-11
Lexus,LX 600,2018,64630,4500,3.1,1366986,2024-09-29
Nissan,GT-R R35,2018,69471,3000,3.4,2419378,2024-06-01
Porsche,Macan,2018,79378,2000,3.8,2402943,2025-06-22
Subaru,Forester,2023,12887,2000,5.2,1224692,2025-05-26
Mitsubishi,Pajero,2024,1000,1500,5.1,2967770,2024-01-29
Lexus,LX 570,2020,46778,3500,3.9,3418164,2025-05-27
Subaru,Forester,2016,89999,2000,3.5,500000,2025-03-07
Lexus,LX 600,2018,57088,3500,4.0,3009790,2024-01-02
Lexus,LX 600,2022,24486,3500,5.5,6213220,2024-12-24
Mitsubishi,Outlander,2019,47291,2500,4.3,515250,2025-02-16
Lexus,NX,2024,1000,3000,4.4,6583119,2025-05-03
Mazda,RX-7,2020,45501,2000,3.6,1064526,2024-10-08
Mitsubishi,Pajero,2015,107990,2500,3.9,500000,2023-10-23
Lexus,LX 600,2021,35888,4500,4.4,6018350,2024-07-28
Mazda,RX-7,2021,25561,2000,4.6,2307658,2024-11-17
Mitsubishi,Pajero,2020,31168,2500,3.6,500000,2025-04-06
Honda,Accord,2021,37568,2500,4.2,932083,2024-06-07
Honda,CR-V,2020,48555,2000,3.5,931930,2025-01-15
Lexus,GX 460,2024,1727,2500,4.7,7791496,2025-03-25
Porsche,911 Carrera,2023,7590,3000,4.7,7959955,2023-11-28
Honda,CR-V,2019,70266,2000,3.3,954297,2025-09-18
Mitsubishi,Outlander,2021,22584,2500,4.6,1275806,2024-08-24
Mazda,RX-7,2024,1000,2500,5.4,3475998,2024-10-22
Subaru,Outback,2020,28924,2500,4.3,1242076,2024-10-15
Mitsubishi,Outlander,2020,58659,2000,3.9,515037,2025-07-01
Toyota,Land Cruiser,2019,55026,5700,4.0,2463653,2024-04-04
Honda,CR-V,2022,16742,2500,5.4,2554269,2024-03-07
Lexus,NX,2024,1845,3000,5.3,8037169,2024-04-21
Mazda,CX-5,2017,102104,2000,3.8,500000,2024-01-21
Mitsubishi,Outlander,2019,37997,2000,3.7,1106689,2024-05-29
Nissan,GT-R R35,2016,66526,3000,3.4,1734301,2024-03-11
Toyota,Land Cruiser 300,2020,55280,3500,3.6,3107534,2025-04-04
Subaru,WRX STI,2018,79222,2000,2.8,583755,2023-11-06
Toyota,Land Cruiser 300,2024,1000,4500,4.9,6126191,2024-06-30
Toyota,Land Cruiser,2016,95134,3500,3.8,710438,2024-03-26
Subaru,WRX STI,2020,38731,2000,3.8,1217834,2024-12-13
Toyota,Land Cruiser 300,2021,30005,3500,4.0,3424046,2024-04-25
Nissan,X-Trail,2023,14799,2000,5.3,2824128,2024-07-16
Honda,CR-V,2022,21565,2000,5.5,1948064,2024-01-27
Subaru,WRX STI,2024,4062,2000,5.1,4008025,2025-03-18
Mitsubishi,Lancer Evolution,2023,15722,2000,4.8,1174441,2025-07-11
Nissan,Patrol,2020,37145,3500,3.6,781700,2024-09-10
Mitsubishi,Lancer Evolution,2023,12312,2000,5.4,1229625,2024-11-23
Lexus,NX,2015,116708,2500,4.0,1296030,2025-06-07
Mitsubishi,Pajero,2024,1000,2000,4.5,1774063,2025-02-15
Porsche,Cayenne,2020,36423,1500,4.4,4295535,2024-03-18
Subaru,Outback,2023,17334,3000,4.5,975658,2024-02-12
Toyota,Prado,2020,57669,2000,3.8,1148982,2024-12-26
Honda,Accord,2021,40227,1500,4.3,1284200,2025-09-25
Toyota,Land Cruiser 200,2020,47670,3500,3.9,1637014,2025-01-23
Lexus,GX 460,2024,1000,2500,4.2,3874406,2025-07-14
Toyota,Prado,2022,32726,1500,3.9,1120266,2025-07-16
Mitsubishi,Outlander,2022,24093,3000,4.3,1712959,2024-03-13
Mazda,CX-5,2022,25837,1500,4.3,1886576,2023-11-21
Mazda,CX-5,2016,96637,2500,3.6,558768,2024-09-26
Subaru,Outback,2024,1026,2000,4.8,2644483,2024-09-21
Mazda,CX-5,2015,102694,2000,3.9,500000,2023-10-07
Mazda,CX-9,2021,34055,2500,3.5,810011,2024-06-23
Subaru,WRX STI,2017,77489,2500,3.2,503728,2024-01-04
Honda,NSX,2024,1000,3000,4.9,2208066,2025-06-22
Honda,CR-V,2024,4934,2000,5.3,2083188,2023-11-28
Mitsubishi,Outlander,2024,1000,2500,4.5,1399045,2024-04-12
Subaru,WRX STI,2023,12041,2000,4.4,3174096,2025-05-06
Mazda,RX-7,2024,1000,2500,4.8,1975358,2024-06-08
Porsche,Cayenne,2018,54409,2500,3.9,2341000,2024-09-01
Subaru,WRX STI,2021,44412,2000,3.8,1410936,2023-11-17
Mazda,RX-7,2020,32804,2500,4.4,2128867,2024-08-09
Toyota,Prado,2023,13251,2000,4.1,1560763,2024-04-27
Lexus,NX,2015,128774,2000,3.9,969316,2024-09-29
Lexus,NX,2019,66670,2500,3.8,1740678,2024-11-13
Porsche,911 Carrera,2024,1000,3000,5.2,8338666,2024-08-16
Honda,NSX,2017,65471,3800,3.7,518153,2025-05-16
Lexus,LX 570,2018,79354,3500,3.3,2499649,2025-03-03
Porsche,Cayenne,2023,15020,3000,4.7,3949875,2024-11-03
Honda,CR-V,2022,21481,3000,4.7,1644637,2024-12-18
Mazda,CX-5,2022,21047,2500,5.4,2049385,2025-08-21
Toyota,Prado,2018,90595,2000,3.1,500000,2024-09-13
Mazda,CX-9,2015,112476,2000,3.5,500000,2024-11-11
Lexus,LX 570,2015,91196,3500,2.6,986080,2024-03-17
Porsche,911 Carrera,2023,15377,3800,5.1,5161949,2025-04-07
Porsche,Macan,2024,1000,1500,5.5,10906320,2024-06-23
Toyota,Land Cruiser,2023,16346,4500,5.0,5211049,2024-09-09
Lexus,LX 600,2019,66413,3500,3.9,2968543,2025-01-06
Toyota,Land Cruiser,2024,1000,3500,4.9,4173727,2024-02-22
Mitsubishi,Pajero,2024,4096,2500,4.4,1414681,2025-08-13
Toyota,Land Cruiser,2016,77611,4500,3.9,1319783,2024-02-06
Lexus,LX 570,2017,96523,4500,3.7,2028434,2024-02-22
Subaru,Forester,2022,21110,2000,5.1,724596,2025-03-08
Mazda,RX-7,2020,53196,2000,4.0,1287461,2024-07-25
Lexus,LX 570,2023,9257,3500,4.3,5702742,2025-01-14
Toyota,Land Cruiser 300,2024,1000,3500,5.0,6384366,2024-07-17
Nissan,Patrol,2023,7375,3500,4.9,2057320,2025-05-25
Nissan,Patrol,2017,74842,5700,3.3,500000,2025-02-05
Mazda,CX-9,2023,11658,2500,4.4,1843576,2025-04-09
Mitsubishi,Pajero,2019,42756,2500,3.8,520775,2025-09-29
Lexus,LX 600,2021,37440,3500,4.2,4501526,2025-09-12
Mazda,RX-7,2024,2599,2500,4.6,3100402,2023-10-24
Nissan,GT-R R35,2024,1000,3000,4.8,6516945,2024-06-18
Mazda,CX-9,2021,44684,2000,4.3,916885,2025-04-27
Porsche,Cayenne,2020,38602,2000,4.1,3929935,2023-10-27
Mazda,CX-9,2022,21537,2000,4.2,926340,2023-12-15
Nissan,X-Trail,2015,82528,1500,2.9,500000,2024-05-06
Lexus,NX,2016,118046,2000,3.0,1697334,2024-07-29
Honda,NSX,2019,78492,3000,3.2,1072584,2025-02-23
Porsche,911 Carrera,2022,18496,3000,5.4,3581011,2025-09-14
Honda,Accord,2023,12726,1500,5.0,838053,2024-09-07
Nissan,Patrol,2020,30200,3500,4.2,1062076,2025-02-09
Nissan,GT-R R35,2017,95877,3500,3.5,1171351,2024-10-07
Nissan,Patrol,2015,101666,3500,2.9,500000,2024-08-17
Mitsubishi,Pajero,2020,49373,2000,4.3,1441632,2025-08-09
Subaru,WRX STI,2019,49810,2500,4.4,749612,2024-05-24
Subaru,Forester,2020,48410,2500,4.5,1222287,2024-12-27
Nissan,GT-R R35,2017,90176,3000,2.7,1530476,2024-03-20
Porsche,Macan,2022,24248,2500,5.5,5009854,2024-11-09
Mitsubishi,Lancer Evolution,2022,27419,2500,4.3,1369644,2025-04-23
Honda,Accord,2021,40269,2500,3.6,500000,2023-10-13
Mitsubishi,Outlander,2023,10603,1500,4.7,1084622,2024-05-16
Mitsubishi,Outlander,2023,15357,2000,4.2,887813,2024-07-20
Porsche,911 Carrera,2024,2037,3800,4.6,5359364,2024-10-28
Toyota,Prado,2017,57026,2500,3.0,500000,2024-11-18
Mazda,RX-7,2021,34656,2000,3.8,1314806,2025-08-18
Honda,NSX,2021,37886,3500,4.4,2140830,2025-05-05
Toyota,Prado,2022,17243,1500,5.3,1809135,2024-09-29
Mitsubishi,Outlander,2018,79600,1500,2.8,500000,2025-06-03
Porsche,911 Carrera,2020,54867,3500,4.1,2387268,2025-03-03
Toyota,Land Cruiser 200,2022,32394,5700,3.8,3114495,2025-09-24
Mitsubishi,Lancer Evolution,2023,14292,2500,4.7,918676,2024-01-09
Subaru,Outback,2016,84456,2500,3.6,579154,2024-01-15
Subaru,Forester,2022,20764,2000,4.5,1228623,2023-10-25
Honda,Accord,2023,6602,2000,4.7,2472647,2025-04-21
Honda,CR-V,2024,1000,1500,5.2,844509,2025-06-30
Mazda,RX-7,2017,64054,2000,3.0,521540,2023-12-01
Mazda,RX-7,2021,25337,2500,5.4,2915366,2024-10-29
Lexus,LX 600,2020,36585,4500,4.5,4179007,2025-04-12
Porsche,Cayenne,2021,38213,1500,4.2,2501411,2024-11-24
Honda,CR-V,2021,25441,2000,4.4,1521858,2025-02-17
Lexus,LX 570,2022,24259,4500,5.1,5259272,2024-04-08
Mitsubishi,Lancer Evolution,2016,115682,2000,3.0,500000,2024-06-06
Honda,CR-V,2023,9455,2000,4.7,1453529,2024-12-14
Toyota,Land Cruiser 200,2021,44188,4500,3.6,2707357,2024-03-21
Porsche,911 Carrera,2017,105639,3000,3.3,2260505,2024-07-18
Nissan,X-Trail,2024,2544,2500,4.3,1000368,2025-04-08
Mazda,CX-9,2023,7094,2000,4.5,2394900,2024-09-23
Porsche,911 Carrera,2022,33595,3500,4.0,6020226,2024-03-13
Subaru,WRX STI,2020,40138,2000,4.0,1609088,2023-12-11
Subaru,WRX STI,2022,17083,2000,4.3,2168916,2023-12-17
Mazda,RX-7,2021,31749,2000,4.3,2486891,2024-09-03
Nissan,Patrol,2023,11168,3500,5.4,1236929,2024-04-08
Nissan,GT-R R35,2018,78007,3000,2.6,2208461,2024-03-15
Honda,CR-V,2021,29126,2000,4.7,1053129,2024-10-27
Toyota,Land Cruiser 200,2021,36108,4500,4.0,3128632,2024-05-24
Mitsubishi,Lancer Evolution,2016,96536,2000,2.8,500000,2025-06-28
Mazda,CX-5,2022,20879,3000,4.1,1363575,2025-03-08
Mazda,RX-7,2021,36779,2000,4.0,1173550,2025-06-23
Mitsubishi,Lancer Evolution,2023,17201,2000,5.2,1058554,2024-03-16
Porsche,Macan,2022,30101,1500,4.0,5379372,2023-12-06
Mazda,RX-7,2016,85037,2000,3.8,795634,2025-07-20
Toyota,Land Cruiser 300,2024,1000,3500,5.1,8573991,2024-01-01
Honda,NSX,2015,78195,3500,2.7,500000,2023-11-18
Nissan,X-Trail,2023,12469,2000,4.2,1905588,2024-04-07
Honda,NSX,2019,58643,3000,4.4,1781828,2024-08-29
Mazda,RX-7,2021,28511,2000,4.8,2453084,2023-10-24
Porsche,Macan,2019,52332,1500,4.2,3302216,2024-05-24
Toyota,Land Cruiser 200,2021,38903,3500,4.4,2404766,2023-12-18
Toyota,Land Cruiser,2024,3315,4500,5.0,2600063,2025-01-26
Mazda,CX-9,2017,90933,2500,3.6,615832,2024-05-30
Subaru,WRX STI,2023,13949,2000,4.0,1741261,2024-01-16
Porsche,Cayenne,2022,12007,2000,5.0,8074818,2024-09-15
Porsche,Cayenne,2021,28251,2000,4.0,3282483,2023-10-09
Lexus,LX 570,2020,36623,3500,4.4,5440729,2024-02-26
Mazda,CX-9,2022,22473,1500,5.0,2041064,2024-09-06
Toyota,Prado,2022,28266,3000,4.4,2006419,2024-10-24
Honda,Accord,2017,67622,3000,3.7,500000,2024-06-15
Toyota,Land Cruiser,2023,16107,3500,5.0,3392339,2024-04-03
Nissan,X-Trail,2016,72293,2500,3.4,500000,2024-11-25
Mazda,RX-7,2018,56806,2000,2.5,937714,2025-03-04
Mitsubishi,Outlander,2018,68032,1500,3.4,848204,2025-09-16
Porsche,911 Carrera,2015,93446,3800,2.8,1282501,2024-01-22
Toyota,Land Cruiser,2017,78058,4500,3.2,1332914,2025-02-13
Porsche,Cayenne,2022,24244,2000,5.4,7936632,2025-03-27
Honda,CR-V,2022,25365,2500,4.8,1227142,2024-02-27
Nissan,Patrol,2021,31053,3500,3.6,786791,2025-04-22
Mazda,CX-5,2023,9988,2000,4.6,877642,2025-10-01
Toyota,Prado,2017,82900,2500,3.2,665595,2024-12-17
Porsche,911 Carrera,2017,83482,3000,4.0,2357977,2024-02-16
Mitsubishi,Lancer Evolution,2021,31940,2000,4.4,1385847,2024-03-27
Mazda,CX-9,2018,48772,2000,3.4,729747,2024-12-08
Subaru,Forester,2021,32237,1500,4.1,1197301,2024-12-04
Porsche,Macan,2022,32711,2500,4.5,6206973,2025-01-24
Toyota,Land Cruiser 200,2024,1000,4500,4.1,4447229,2024-05-18
Honda,NSX,2021,29547,3800,5.1,2806547,2024-03-11
Lexus,GX 460,2016,106564,2500,3.0,776482,2024-01-02
Subaru,WRX STI,2015,74959,2000,3.8,552939,2024-08-18
Honda,Accord,2022,31281,1500,4.0,1798197,2023-11-19
Nissan,Patrol,2023,9192,4500,4.4,756171,2025-06-18
Subaru,WRX STI,2015,124869,2000,4.0,544899,2024-04-08
Lexus,GX 460,2018,62041,2000,3.8,1490115,2025-03-04
Nissan,GT-R R35,2024,1706,3800,5.0,5299137,2024-04-30
Subaru,WRX STI,2023,6525,2000,5.5,3385988,2025-05-17
Lexus,GX 460,2017,66533,2000,2.6,1862434,2024-03-02
Lexus,LX 600,2024,1000,4500,4.7,7159328,2024-06-29
Porsche,911 Carrera,2022,24827,3500,4.1,4507777,2025-01-15
Honda,Accord,2023,16134,1500,5.0,743738,2024-10-08
Mazda,CX-5,2018,62441,2000,3.5,500000,2025-05-26
Mitsubishi,Lancer Evolution,2024,1000,2500,4.3,2521484,2024-07-26
Mitsubishi,Pajero,2021,34884,2500,3.6,1535269,2025-05-10
Porsche,Macan,2024,2522,2000,5.4,6287137,2024-07-15
Toyota,Land Cruiser,2021,39284,4500,4.3,1638797,2023-10-28
Lexus,NX,2023,9934,2000,4.7,6068539,2025-08-16
Nissan,Patrol,2021,30364,3500,3.9,1082291,2024-04-22
Porsche,911 Carrera,2022,21360,3800,5.3,8563668,2024-01-26
Porsche,Cayenne,2021,35090,3000,3.8,4347668,2024-07-17
Honda,CR-V,2018,47067,1500,3.1,603642,2024-02-29
Nissan,Patrol,2019,49620,5700,3.6,549140,2023-10-12
Mitsubishi,Lancer Evolution,2015,116274,2000,3.1,500000,2025-07-23
Porsche,911 Carrera,2023,7091,3800,5.4,6244376,2024-05-27
Subaru,Outback,2021,41300,2000,4.5,1606871,2024-10-01
Subaru,WRX STI,2020,46844,2000,4.2,1392624,2023-12-11
Nissan,Patrol,2015,134218,3500,2.8,500000,2025-03-24
Nissan,GT-R R35,2020,64357,3800,3.6,3250665,2024-07-09
Mitsubishi,Lancer Evolution,2022,25087,2000,5.0,862994,2023-12-07
Honda,Accord,2019,72021,2500,2.5,759781,2025-01-11
Honda,Accord,2022,23675,2000,4.7,2095035,2025-03-12
Mitsubishi,Outlander,2017,54273,1500,2.7,500000,2025-01-18
Subaru,WRX STI,2015,88276,2000,3.4,500000,2024-12-28
Mitsubishi,Outlander,2016,124369,2000,2.5,500000,2024-09-06
Toyota,Land Cruiser 200,2020,38504,3500,4.0,2467457,2023-10-26
Honda,CR-V,2023,8336,2000,4.5,2452321,2024-11-29
Mazda,CX-5,2023,11914,3000,4.6,1558537,2025-05-01
Mitsubishi,Pajero,2020,42976,2500,4.3,1466081,2025-04-23
Toyota,Land Cruiser 300,2020,33941,4500,3.5,1886189,2024-06-10
Mazda,CX-5,2022,30356,2000,3.6,1381934,2025-01-08
Nissan,GT-R R35,2021,38778,3000,4.0,5473713,2024-08-15
Honda,CR-V,2021,30852,3000,4.0,696486,2025-06-28
Porsche,Macan,2022,18535,2500,4.7,3445757,2025-08-16
Subaru,WRX STI,2022,25961,2500,4.8,2262096,2024-05-05
Subaru,WRX STI,2024,1000,2500,5.0,3245835,2024-02-04
Mitsubishi,Lancer Evolution,2023,10252,2000,5.5,2677514,2024-07-23
Mazda,CX-9,2022,12432,2500,4.2,687035,2024-11-28
Porsche,911 Carrera,2021,41521,3000,4.2,4739571,2025-07-28
Lexus,LX 600,2019,54952,3500,4.1,2492534,2024-06-17
Porsche,Cayenne,2023,12285,1500,5.1,8810180,2025-05-03
Porsche,Cayenne,2023,12120,2000,4.7,3779987,2024-08-15
Mazda,CX-9,2022,20711,2000,4.7,1084956,2024-08-03
Porsche,Macan,2022,17882,2500,5.2,4471510,2023-10-26
Toyota,Land Cruiser 200,2021,43156,3500,3.6,2741905,2024-11-01
Mazda,RX-7,2023,7832,2000,5.4,2823981,2024-06-24
Mazda,CX-9,2022,27426,2500,4.9,2207825,2024-09-05
Porsche,Cayenne,2021,45001,1500,4.2,5901213,2024-12-29
Nissan,X-Trail,2016,78693,2000,3.7,687448,2024-03-30
Honda,Accord,2020,59510,2500,3.7,979476,2024-07-26
Honda,CR-V,2024,3869,3000,4.3,1146885,2024-05-24
Porsche,911 Carrera,2024,1000,3000,4.9,7459239,2024-08-24
Nissan,X-Trail,2019,70949,3000,3.2,804817,2024-11-23
Mitsubishi,Lancer Evolution,2022,20279,2000,4.4,1295751,2024-11-10
Porsche,Cayenne,2022,25651,2500,5.1,3327543,2025-02-05
Honda,NSX,2021,36971,3800,4.1,2217619,2024-12-09
Mazda,CX-5,2021,46651,2500,4.1,511470,2024-05-21
Mazda,RX-7,2020,53702,2000,4.5,1226399,2025-05-05
Honda,Accord,2023,14426,2000,4.4,802367,2025-06-21
Mitsubishi,Lancer Evolution,2021,45423,2000,3.6,1071700,2024-08-28
Nissan,Patrol,2022,31320,5700,4.0,739921,2025-02-26
Toyota,Land Cruiser,2020,53659,3500,4.2,2101968,2025-09-14
Nissan,GT-R R35,2022,14904,3000,5.3,3879100,2024-11-07
Mitsubishi,Pajero,2023,15438,2000,4.9,1111698,2024-01-30
Porsche,Cayenne,2019,55819,3000,4.0,2757887,2025-06-01
Lexus,LX 570,2018,75915,4500,3.7,3112213,2024-11-09
Mazda,RX-7,2024,3603,2000,4.3,1290445,2024-07-09
Nissan,Patrol,2023,10364,3500,5.3,1481689,2024-09-29
Mitsubishi,Outlander,2024,1000,2500,4.4,1909308,2025-02-08
Lexus,LX 570,2020,45883,5700,3.9,4314462,2023-10-16
Toyota,Land Cruiser,2020,57105,3500,4.1,2364563,2025-05-09
Honda,Accord,2022,19579,2000,4.2,1635490,2023-11-16
Lexus,GX 460,2016,67751,2000,3.5,1138425,2025-02-18
Mazda,CX-5,2020,47412,3000,4.4,1636157,2024-12-31
Lexus,LX 600,2024,3123,3500,5.3,4316185,2023-12-20
Mitsubishi,Lancer Evolution,2024,1000,2500,4.3,2504836,2024-05-13
Porsche,911 Carrera,2021,37512,3500,3.9,3498879,2024-01-24
Honda,Accord,2019,44081,2000,4.1,1296926,2024-04-05
Mitsubishi,Pajero,2021,30643,2000,4.5,1023307,2025-01-12
Toyota,Land Cruiser,2019,66690,4500,3.4,1838837,2024-12-26
Honda,Accord,2024,1000,1500,5.1,2097347,2025-04-19
Nissan,X-Trail,2021,28571,2500,4.7,1332156,2024-08-10
Lexus,GX 460,2018,56646,3000,2.7,1853770,2024-05-06
Lexus,NX,2019,43399,2000,4.3,3785232,2024-10-19
Toyota,Land Cruiser 200,2019,66993,3500,3.9,1757588,2024-09-23
Honda,NSX,2019,69396,3800,3.1,860819,2024-09-17
Nissan,GT-R R35,2024,1000,3500,4.3,4792789,2023-11-01
Porsche,Cayenne,2018,51742,2500,3.4,1873818,2023-11-28
Porsche,Cayenne,2016,74412,1500,3.5,982157,2025-06-16
Toyota,Land Cruiser,2020,48413,3500,4.0,1816582,2025-08-03
Nissan,GT-R R35,2017,103554,3800,2.6,1631010,2024-01-31
Mitsubishi,Lancer Evolution,2022,21962,2500,4.1,1457939,2025-08-11
Porsche,Macan,2020,54820,2500,4.0,2348763,2025-04-28
Subaru,Forester,2020,41072,2000,3.6,1010129,2024-02-05
Toyota,Prado,2024,1000,3000,5.2,1462583,2024-02-29
Mitsubishi,Pajero,2024,1000,2500,4.9,2550550,2024-06-13
Lexus,GX 460,2023,10007,1500,4.9,7246911,2025-08-15
Mazda,CX-9,2016,106801,1500,2.7,500000,2025-05-16
Lexus,GX 460,2023,4280,2000,5.1,6807122,2023-10-12
Porsche,911 Carrera,2022,18324,3800,5.4,6415451,2025-07-04
Nissan,Patrol,2022,29763,5700,4.4,2114111,2024-05-20
Porsche,Macan,2022,22996,2000,5.3,5927535,2023-12-03
Honda,CR-V,2023,15992,2500,5.3,1572294,2025-02-05
Lexus,LX 570,2017,76684,4500,2.7,1041982,2025-06-02
Mazda,CX-5,2023,12895,2500,4.4,2020235,2024-06-16
Mazda,CX-9,2021,30480,2500,4.3,547414,2023-12-03
Mitsubishi,Lancer Evolution,2024,1280,2500,4.2,1618854,2025-02-16
Lexus,LX 600,2024,1000,3500,5.0,5221479,2025-05-03
Nissan,Patrol,2021,29465,5700,4.9,1454455,2024-02-21
Honda,NSX,2022,20237,3500,5.2,1639457,2023-11-30
Honda,CR-V,2020,63953,2500,3.8,536570,2024-05-20
Subaru,Forester,2024,1000,2500,4.7,2105807,2024-10-08
Mitsubishi,Pajero,2019,44344,1500,3.8,1056482,2024-08-08
Lexus,LX 570,2016,118225,5700,3.6,989832,2025-06-05
Mazda,CX-5,2020,57985,1500,4.1,1280219,2025-02-05
Subaru,WRX STI,2024,1000,2500,4.9,1698150,2024-03-22
Toyota,Prado,2024,4199,2000,4.7,2532192,2024-07-21
Nissan,Patrol,2023,5900,4500,5.3,2684917,2024-08-22
Mazda,RX-7,2020,41588,2000,3.7,932928,2024-02-05
Mazda,RX-7,2022,24251,2000,4.0,1788671,2023-12-20
Mitsubishi,Lancer Evolution,2021,33501,2000,4.4,521085,2024-08-09
Porsche,Cayenne,2024,1000,2500,4.8,5185177,2025-04-11
Nissan,GT-R R35,2019,63291,3000,2.6,2021602,2024-06-16
Porsche,911 Carrera,2023,15011,3000,5.4,4748183,2024-07-26
Nissan,GT-R R35,2024,1000,3500,4.0,7698702,2025-02-04
Mitsubishi,Pajero,2022,11801,1500,4.9,1739224,2024-05-11
Subaru,Outback,2021,35329,2000,3.5,716128,2024-09-07
Mazda,CX-5,2016,109573,3000,3.0,500000,2024-12-18
Subaru,WRX STI,2022,21499,2000,5.4,1833385,2024-11-14
Lexus,LX 600,2017,106371,4500,2.9,1398359,2023-12-28
Honda,NSX,2020,54488,3800,3.8,1824673,2024-03-03
Lexus,NX,2022,27333,3000,5.2,5046780,2025-08-30
Porsche,Macan,2024,4655,1500,4.5,7050222,2025-09-10
Nissan,Patrol,2021,43220,4500,4.3,908911,2025-10-03
Mazda,CX-5,2018,73337,2000,3.5,540039,2025-04-08
Lexus,GX 460,2023,14174,1500,5.4,8052293,2025-03-04
Toyota,Land Cruiser 200,2023,10626,5700,5.3,4910103,2025-01-29
Toyota,Land Cruiser 200,2020,61051,4500,3.9,1753201,2024-01-31
Lexus,LX 600,2020,42755,3500,3.9,3833731,2025-05-22
Toyota,Land Cruiser 200,2022,16607,4500,4.7,2907984,2024-04-22
Honda,NSX,2024,3792,3800,4.5,3100377,2024-12-15
Subaru,Outback,2018,63246,2500,2.9,500000,2025-02-19
Porsche,Cayenne,2023,14776,1500,5.0,7704268,2024-03-19
Subaru,Forester,2017,103223,2000,3.4,611996,2024-05-31
Mitsubishi,Pajero,2019,67177,2500,3.8,525258,2023-10-07
Mazda,CX-9,2020,58988,2500,4.4,972948,2025-04-29
Lexus,LX 600,2022,20225,3500,5.1,5822829,2025-08-24
Subaru,Forester,2023,9445,2500,4.7,1538494,2025-05-06
Subaru,Outback,2023,16327,2000,4.8,2119448,2025-02-07
Mitsubishi,Outlander,2015,76626,1500,2.9,500000,2025-09-07
Lexus,GX 460,2021,28073,2500,4.5,5367646,2024-07-24
Honda,Accord,2021,39120,2000,3.6,1292424,2025-08-20
Lexus,LX 570,2021,29972,4500,4.3,6164626,2024-11-15
Lexus,LX 600,2021,31483,5700,4.0,2454773,2023-12-20
Mazda,CX-5,2024,1098,2500,4.9,2928115,2024-07-22
Mazda,CX-5,2019,65107,2500,3.7,1200616,2024-09-16
